Estación,Mes,Año,Precip.,T. máx. abs.,T. mín. abs.,T. media de medias
HIJAR,7,2018,5.4,38.9,16.5,27.5
HIJAR,12,2018,9.8,18.6,-4,8.8
HIJAR,1,2018,35.5,21,-1,9.7
HUESCA,3,2018,56.4,20.4,-1.5,8.1
HUESCA,10,2018,121.4,26.5,0.3,14.7
HUESCA,5,2018,79.4,25.5,2.6,15.7
HUESCA,6,2018,34.8,33.1,10.4,20.6
HUESCA,4,2018,153,25.4,0.9,12.5
HUESCA,11,2018,43.2,18.3,2.4,9.9
HUESCA,7,2018,9,35.6,12.7,24.8
HUESCA,8,2018,8.8,36.7,10.6,24.5
HUESCA,12,2018,15.8,15.5,-4.1,6.9
HUESCA,2,2018,48.6,16.3,-0.6,8.3
HUESCA,1,2018,46.4,17.4,-0.8,7.3
HUESCA,9,2018,41.8,32.7,6.6,24.3
JABALOYAS,6,2018,20.8,29.6,6.2,16.1
JABALOYAS,5,2018,82.4,20.2,-1,10.7
JABALOYAS,3,2018,132.8,16,-6.5,3.2
JABALOYAS,10,2018,142,21.6,-3.7,10.4
JABALOYAS,4,2018,45.6,20.9,-1.7,8.2
JABALOYAS,7,2018,10,30.1,10.1,20.7
JABALOYAS,8,2018,73.8,32,9.6,20.5
JABALOYAS,11,2018,59.8,14.7,-0.5,5.8
JABALOYAS,2,2018,19.2,15.9,-3.6,4.9
JABALOYAS,9,2018,48,27.7,9.9,17.6
JABALOYAS,1,2018,21.2,16.5,-4.6,3.8
JABALOYAS,12,2018,16.6,17.4,-1.8,7.1
JACA,6,2018,72,30.9,6.5,17.6
JACA,5,2018,112.4,24,-2.2,13.3
JACA,3,2018,142,18,-4.9,5
JACA,10,2018,83.8,26.8,-3.4,12.4
JACA,11,2018,64.9,18.1,-0.9,7.4
JACA,4,2018,141.3,25.6,-2.5,10.5
JACA,7,2018,12,34,8.9,22.1
JACA,8,2018,11.3,36.4,6.7,22
JACA,12,2018,28,18.8,-3,6
JACA,2,2018,101.7,18.4,-4.2,6
JACA,1,2018,63.4,18.2,-4.4,5.2
JACA,9,2018,48.6,30.4,5.5,19
LA ALMUNIA DE DOÑA GODINA,2,2018,23,19.1,-1.2,9.6
LA ALMUNIA DE DOÑA GODINA,6,2018,27.6,35.4,10,21.5
LA ALMUNIA DE DOÑA GODINA,10,2018,71.1,31.1,3,15.5
LA ALMUNIA DE DOÑA GODINA,5,2018,61.2,28.1,3.3,17.1
LA ALMUNIA DE DOÑA GODINA,3,2018,27,25.7,1.3,10.9
LA ALMUNIA DE DOÑA GODINA,4,2018,96,26.3,1.7,13.6
LA ALMUNIA DE DOÑA GODINA,8,2018,10.8,39,12.2,24.8
LA ALMUNIA DE DOÑA GODINA,11,2018,39,22.8,1,11.6
LA ALMUNIA DE DOÑA GODINA,7,2018,8.6,38.9,13.7,25.6
LA ALMUNIA DE DOÑA GODINA,12,2018,10.6,20.8,-1.5,9.2
LA ALMUNIA DE DOÑA GODINA,1,2018,26.8,19.2,-2,9.3
LA ALMUNIA DE DOÑA GODINA,9,2018,19.2,34.6,7.2,21.9
LAGUARRES,5,2018,168.4,26.3,-0.2,14.7
LAGUARRES,3,2018,91,17.5,-5.1,6.4
LAGUARRES,10,2018,157.4,26.5,-1.9,13.7
LAGUARRES,6,2018,106.4,31.4,7.9,19.7
LAGUARRES,12,2018,13.4,16.7,-5.1,5.2
LAGUARRES,7,2018,43.8,34.5,12.7,23.4
LAGUARRES,11,2018,88.2,19.4,-1.3,8.7
LAGUARRES,8,2018,51.2,36.2,10.4,23.2
LAGUARRES,4,2018,131.8,26,-2.1,11.5
LAGUARRES,2,2018,59.6,18.7,-3.3,7
LAGUARRES,1,2018,41.6,19.3,-3.9,5.8
LAGUARRES,9,2018,19.8,31,9,20.5
LANAJA,6,2018,25.6,35,11.1,21.6
LANAJA,10,2018,58.6,27.4,2.1,15.3
LANAJA,5,2018,56.6,26.7,4.4,16.6
LANAJA,3,2018,33.8,22,1.1,9.2
LANAJA,4,2018,111.6,26.5,3.9,13.4
LANAJA,11,2018,52.8,18,1.2,10.4
LANAJA,8,2018,36.6,38.3,12.4,24.8
LANAJA,12,2018,11.6,16.1,-2.2,7.2
LANAJA,2,2018,33.4,17.4,0.9,8.6
LANAJA,7,2018,42.2,35.5,15.6,25.9
LANAJA,9,2018,9.4,33.1,9,22.3
LANAJA,1,2018,41.2,18.1,-2.4,8.2
LECIÑENA,9,2018,13.8,33.9,5.5,22
LECIÑENA,1,2018,48.9,19,-2,7.9
LECIÑENA,10,2018,45.8,28.4,-1.4,15
LECIÑENA,5,2018,89.8,28.3,-0.1,16.4
LECIÑENA,6,2018,25.8,35.2,9.7,21.6
LECIÑENA,3,2018,36.6,22.5,-0.5,9.2
LECIÑENA,8,2018,34.8,39.1,10,24.8
LECIÑENA,4,2018,110.4,27.4,0.5,13.4
LECIÑENA,7,2018,6.6,37.6,14,25.7
LECIÑENA,11,2018,32.2,20.3,-0.8,10.2
LECIÑENA,12,2018,13.6,18.4,-4.6,7.4
LECIÑENA,2,2018,28.4,18.8,-1.8,8.8
MONTALBÁN,10,2018,200.6,26.3,-1.4,12.2
MONTALBÁN,7,2018,64,35.1,10.7,22.7
MONTALBÁN,6,2018,21.8,31.9,6.9,18.2
